MTime;Miner;Message;BlockNr;Hash
11-07-09:58:27.244;miner3;🔨 mined potential block                 ;39658;7268a6…8f6ae3
11-07-09:58:32.362;miner3;🔨 mined potential block                 ;39659;fd1891…3b8acb
11-07-09:58:36.393;miner4;🔨 mined potential block                 ;39660;a9de75…2b5a8d
11-07-09:58:48.367;miner3;🔨 mined potential block                 ;39661;db0142…39de8a
11-07-09:59:11.996;miner3;🔨 mined potential block                 ;39662;707414…eda46d
11-07-09:59:19.773;miner4;🔨 mined potential block                 ;39663;3da73a…9a0083
11-07-09:59:43.427;miner2;🔨 mined potential block                 ;39664;fa6178…9d56c1
11-07-09:59:46.511;miner3;🔨 mined potential block                 ;39665;68a6b9…236554
11-07-09:59:54.802;miner4;🔨 mined potential block                 ;39666;81caad…149a58
11-07-10:00:10.697;miner4;🔨 mined potential block                 ;39667;6f03af…d113f5
11-07-10:00:13.057;miner1;🔨 mined potential block                 ;39668;82035c…977d7a
11-07-10:00:36.926;miner4;🔨 mined potential block                 ;39669;87f7f5…b0fdb5
11-07-10:00:47.581;miner2;🔨 mined potential block                 ;39670;26a453…1c640d
11-07-10:00:51.372;miner2;🔨 mined potential block                 ;39671;52710f…0dfa73
11-07-10:00:57.257;miner1;🔨 mined potential block                 ;39672;fc1517…126830
11-07-10:01:06.189;miner4;🔨 mined potential block                 ;39673;426682…d04517
11-07-10:01:22.171;miner2;🔨 mined potential block                 ;39674;50cd2d…da5e59
11-07-10:01:25.593;miner4;🔨 mined potential block                 ;39675;ec25b5…031c86
11-07-10:01:28.813;miner3;🔨 mined potential block                 ;39676;0228ee…c9c445
11-07-10:01:29.943;miner4;🔨 mined potential block                 ;39677;7495e5…282657
11-07-10:01:41.161;miner1;🔨 mined potential block                 ;39678;39a778…bab54c
11-07-10:01:43.007;miner1;🔨 mined potential block                 ;39679;3bfd2e…68a135
11-07-10:01:47.105;miner2;🔨 mined potential block                 ;39680;6cec79…a35036
11-07-10:01:55.807;miner3;🔨 mined potential block                 ;39681;e96b9f…b9cfb0
11-07-10:02:04.394;miner3;🔨 mined potential block                 ;39682;67e43b…1b35fb
11-07-10:02:15.128;miner4;🔨 mined potential block                 ;39683;793f53…ac3e81
11-07-10:02:22.545;miner3;🔨 mined potential block                 ;39684;992219…493563
11-07-10:02:23.296;miner3;🔨 mined potential block                 ;39685;0b27ec…83f736
11-07-10:02:23.967;miner4;🔨 mined potential block                 ;39686;bc1bba…c162cb
11-07-10:02:27.824;miner4;🔨 mined potential block                 ;39687;3b758d…1cf41f
11-07-10:02:28.717;miner3;🔨 mined potential block                 ;39688;4f5525…120d7d
11-07-10:02:32.272;miner1;🔨 mined potential block                 ;39689;01a1b7…62d3ed
11-07-10:02:33.201;miner4;🔨 mined potential block                 ;39690;4f0f8a…5a7fe7
11-07-10:02:36.933;miner3;🔨 mined potential block                 ;39691;faef7a…99bb57
11-07-10:02:42.385;miner2;🔨 mined potential block                 ;39692;61351d…0e53e0
11-07-10:02:46.691;miner2;🔨 mined potential block                 ;39693;022ff9…4bf837
11-07-10:02:48.680;miner2;🔨 mined potential block                 ;39694;e03a86…951d6a
11-07-10:02:50.071;miner4;🔨 mined potential block                 ;39695;8dd256…96ab21
11-07-10:02:54.300;miner2;🔨 mined potential block                 ;39696;e362cd…38ac4f
11-07-10:03:02.044;miner2;🔨 mined potential block                 ;39697;8c20bf…dc1284
11-07-10:03:40.259;miner3;🔨 mined potential block                 ;39698;6df4e4…b11617
11-07-10:03:46.351;miner1;🔨 mined potential block                 ;39699;d5f081…a05efa
11-07-10:04:08.517;miner1;🔨 mined potential block                 ;39700;3952ba…a5c8db
11-07-10:04:33.613;miner4;🔨 mined potential block                 ;39701;255a91…85fcef
11-07-10:04:36.033;miner3;🔨 mined potential block                 ;39702;00b7db…33b49e
11-07-10:05:07.157;miner2;🔨 mined potential block                 ;39703;38e658…9d9129
11-07-10:05:08.882;miner2;🔨 mined potential block                 ;39704;a0e8f1…4b96b4
11-07-10:05:19.653;miner2;🔨 mined potential block                 ;39705;f6409b…d87c75
11-07-10:05:20.664;miner2;🔨 mined potential block                 ;39706;6d1049…38c1b3
11-07-10:05:25.475;miner1;🔨 mined potential block                 ;39707;238bf4…23eafd
11-07-10:05:35.309;miner4;🔨 mined potential block                 ;39708;e18a8f…77d09e
11-07-10:05:35.587;miner2;🔨 mined potential block                 ;39709;4fe0af…2b998b
11-07-10:05:39.040;miner2;🔨 mined potential block                 ;39710;0eb28d…3a4591
11-07-10:05:43.826;miner3;🔨 mined potential block                 ;39711;c695c2…d6db9a
11-07-10:05:45.185;miner1;🔨 mined potential block                 ;39712;653099…bee368
11-07-10:05:46.725;miner3;🔨 mined potential block                 ;39713;9f5d22…b69c1d
11-07-10:05:55.591;miner2;🔨 mined potential block                 ;39714;f1b3ae…799cfa
11-07-10:06:17.078;miner4;🔨 mined potential block                 ;39715;d2cc91…2c840d
11-07-10:06:17.812;miner4;🔨 mined potential block                 ;39716;5d2dec…0a15d4
11-07-10:06:23.183;miner2;🔨 mined potential block                 ;39717;a8abdd…f07554
11-07-10:06:27.275;miner2;🔨 mined potential block                 ;39718;732183…25608a
11-07-10:06:32.720;miner4;🔨 mined potential block                 ;39719;8b4ad7…cfd5ae
11-07-10:06:36.349;miner4;🔨 mined potential block                 ;39720;b993ff…752249
11-07-10:06:36.808;miner4;🔨 mined potential block                 ;39721;ba530d…dc6ab7
11-07-10:06:42.540;miner4;🔨 mined potential block                 ;39722;088774…efdf80
11-07-10:07:05.085;miner4;🔨 mined potential block                 ;39723;9727f6…004c67
11-07-10:07:12.322;miner2;🔨 mined potential block                 ;39724;70bf3c…9ebe68
11-07-10:07:14.094;miner1;🔨 mined potential block                 ;39725;483423…70f321
11-07-10:07:16.231;miner2;🔨 mined potential block                 ;39726;bf094a…d03e0a
11-07-10:07:17.115;miner1;🔨 mined potential block                 ;39727;53e30b…d08aea
11-07-10:07:19.399;miner2;🔨 mined potential block                 ;39728;db2783…55705a
11-07-10:07:33.058;miner4;🔨 mined potential block                 ;39729;cf1366…f0f3d8
11-07-10:07:33.120;miner2;🔨 mined potential block                 ;39730;cf0011…0deee9
11-07-10:07:45.172;miner3;🔨 mined potential block                 ;39731;492dbe…6a4c97
11-07-10:07:46.560;miner4;🔨 mined potential block                 ;39732;d04bae…7e5863
11-07-10:07:47.719;miner4;🔨 mined potential block                 ;39733;552cfa…bda62f
11-07-10:07:49.240;miner1;🔨 mined potential block                 ;39734;2626bb…de6dc1
11-07-10:07:52.672;miner4;🔨 mined potential block                 ;39735;2b7d19…86618d
11-07-10:07:54.068;miner2;🔨 mined potential block                 ;39736;d7482f…cf1239
11-07-10:08:01.755;miner3;🔨 mined potential block                 ;39737;ddd998…5d6e0e
11-07-10:08:02.870;miner2;🔨 mined potential block                 ;39738;052189…f8ecd4
11-07-10:08:04.477;miner1;🔨 mined potential block                 ;39739;49f294…6ade50
11-07-10:08:11.179;miner1;🔨 mined potential block                 ;39740;e64fb7…161a0f
11-07-10:08:22.265;miner4;🔨 mined potential block                 ;39741;cca519…20cad0
11-07-10:08:25.605;miner1;🔨 mined potential block                 ;39742;b84065…2ba0c6
11-07-10:08:29.011;miner1;🔨 mined potential block                 ;39743;85888c…77731e
11-07-10:08:40.056;miner3;🔨 mined potential block                 ;39744;a69d7c…5404f5
11-07-10:08:40.590;miner3;🔨 mined potential block                 ;39745;67a573…2116cb
11-07-10:08:51.251;miner1;🔨 mined potential block                 ;39746;6fbcb5…9cf343
11-07-10:08:56.951;miner4;🔨 mined potential block                 ;39747;68f418…d99d24
11-07-10:09:16.784;miner2;🔨 mined potential block                 ;39748;835fc5…1be452
11-07-10:09:20.203;miner3;🔨 mined potential block                 ;39749;4e0e6c…312112
11-07-10:09:27.259;miner1;🔨 mined potential block                 ;39750;1248b8…8d73c9
11-07-10:09:27.691;miner3;🔨 mined potential block                 ;39751;4e5cd6…c7f42d
11-07-10:09:29.147;miner2;🔨 mined potential block                 ;39752;6f1f09…c16dbf
11-07-10:09:35.058;miner3;🔨 mined potential block                 ;39753;ad37d6…b2252e
11-07-10:09:40.482;miner1;🔨 mined potential block                 ;39754;b103f5…fdcc0a
11-07-10:09:50.505;miner4;🔨 mined potential block                 ;39755;31d1bc…799fa8
11-07-10:09:53.246;miner3;🔨 mined potential block                 ;39756;6208a9…aa5e3b
11-07-10:09:57.028;miner1;🔨 mined potential block                 ;39757;2131d1…7b2d86
11-07-10:10:06.401;miner1;🔨 mined potential block                 ;39758;8b94e3…b99fae
11-07-10:10:10.037;miner4;🔨 mined potential block                 ;39759;89bc8e…4151a7
11-07-10:10:12.572;miner4;🔨 mined potential block                 ;39760;8dbf68…bcf6bb
11-07-10:10:13.113;miner4;🔨 mined potential block                 ;39761;6edc0d…7e3d80
11-07-10:10:20.121;miner4;🔨 mined potential block                 ;39762;7d51f2…3836ab
11-07-10:10:20.402;miner2;🔨 mined potential block                 ;39763;0925aa…674040
11-07-10:10:28.884;miner3;🔨 mined potential block                 ;39764;dc9534…1fd310
11-07-10:10:36.286;miner2;🔨 mined potential block                 ;39765;317e51…7f6dab
11-07-10:10:49.067;miner1;🔨 mined potential block                 ;39766;c3f14b…f0558d
11-07-10:10:53.646;miner2;🔨 mined potential block                 ;39767;ba5774…bfab73
11-07-10:10:54.202;miner2;🔨 mined potential block                 ;39768;8fb029…1fdd81
11-07-10:11:18.892;miner2;🔨 mined potential block                 ;39769;874d98…eaaacd
11-07-10:11:20.043;miner2;🔨 mined potential block                 ;39770;9576fa…04dce3
